request_type,corrected_score_band,old_detector_status,corrected_status,old_corrected_disagreement,source_family,calibration_stratum,frame_eligible_count,selected_train_count,selected_heldout_count,selected_transport_count,selected_reserve_count
instrumental,boundary,0,0,1,N2,instrumental|boundary|old0|corrected0|disagree1|N2,0,0,0,0,0
instrumental,boundary,0,0,1,Stage3,instrumental|boundary|old0|corrected0|disagree1|Stage3,0,0,0,0,0
instrumental,boundary,0,0,1,Batch3_keep,instrumental|boundary|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
instrumental,boundary,0,1,0,spine,instrumental|boundary|old0|corrected1|disagree0|spine,0,0,0,0,0
instrumental,boundary,0,1,0,N2,instrumental|boundary|old0|corrected1|disagree0|N2,0,0,0,0,0
instrumental,boundary,0,1,0,Stage3,instrumental|boundary|old0|corrected1|disagree0|Stage3,0,0,0,0,0
instrumental,boundary,0,1,0,Batch3_keep,instrumental|boundary|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
instrumental,boundary,0,1,1,spine,instrumental|boundary|old0|corrected1|disagree1|spine,138,5,8,0,19
instrumental,boundary,0,1,1,N2,instrumental|boundary|old0|corrected1|disagree1|N2,532,0,0,0,0
instrumental,boundary,0,1,1,Stage3,instrumental|boundary|old0|corrected1|disagree1|Stage3,409,0,0,0,0
instrumental,boundary,0,1,1,Batch3_keep,instrumental|boundary|old0|corrected1|disagree1|Batch3_keep,154,0,0,0,0
instrumental,boundary,1,0,0,spine,instrumental|boundary|old1|corrected0|disagree0|spine,0,0,0,0,0
instrumental,boundary,1,0,0,N2,instrumental|boundary|old1|corrected0|disagree0|N2,0,0,0,0,0
instrumental,boundary,1,0,0,Stage3,instrumental|boundary|old1|corrected0|disagree0|Stage3,0,0,0,0,0
instrumental,boundary,1,0,0,Batch3_keep,instrumental|boundary|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
instrumental,boundary,1,0,1,spine,instrumental|boundary|old1|corrected0|disagree1|spine,0,0,0,0,0
instrumental,boundary,1,0,1,N2,instrumental|boundary|old1|corrected0|disagree1|N2,0,0,0,0,0
instrumental,boundary,1,0,1,Stage3,instrumental|boundary|old1|corrected0|disagree1|Stage3,0,0,0,0,0
instrumental,boundary,1,0,1,Batch3_keep,instrumental|boundary|old1|corrected0|disagree1|Batch3_keep,0,0,0,0,0
instrumental,boundary,1,1,0,spine,instrumental|boundary|old1|corrected1|disagree0|spine,124,5,6,0,18
instrumental,boundary,1,1,0,N2,instrumental|boundary|old1|corrected1|disagree0|N2,520,0,0,0,0
instrumental,boundary,1,1,0,Stage3,instrumental|boundary|old1|corrected1|disagree0|Stage3,479,0,0,0,0
instrumental,boundary,1,1,0,Batch3_keep,instrumental|boundary|old1|corrected1|disagree0|Batch3_keep,12,0,0,0,0
instrumental,boundary,1,1,1,spine,instrumental|boundary|old1|corrected1|disagree1|spine,0,0,0,0,0
instrumental,boundary,1,1,1,N2,instrumental|boundary|old1|corrected1|disagree1|N2,0,0,0,0,0
instrumental,boundary,1,1,1,Stage3,instrumental|boundary|old1|corrected1|disagree1|Stage3,0,0,0,0,0
instrumental,boundary,1,1,1,Batch3_keep,instrumental|boundary|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
instrumental,high,0,0,0,spine,instrumental|high|old0|corrected0|disagree0|spine,0,0,0,0,0
instrumental,high,0,0,0,N2,instrumental|high|old0|corrected0|disagree0|N2,0,0,0,0,0
instrumental,high,0,0,0,Stage3,instrumental|high|old0|corrected0|disagree0|Stage3,0,0,0,0,0
instrumental,high,0,0,0,Batch3_keep,instrumental|high|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
instrumental,high,0,0,1,spine,instrumental|high|old0|corrected0|disagree1|spine,0,0,0,0,0
instrumental,high,0,0,1,N2,instrumental|high|old0|corrected0|disagree1|N2,0,0,0,0,0
instrumental,high,0,0,1,Stage3,instrumental|high|old0|corrected0|disagree1|Stage3,0,0,0,0,0
instrumental,high,0,0,1,Batch3_keep,instrumental|high|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
